id,sentence,created_at,ave_sentiment,user_username
34,You take premium looks to next level. Do the same for your car with better mileage and a 2X cleaner engine.‡ Visit https://t.co/6qeyTauDU1,2021-09-27T18:01:12.000Z,0,exxonmobil
35,You go the extra mile for your look. Why not do the same for your car? Keep your engine 2X cleaner for better gas mileage with Synergy Supreme+™ premium gas.‡ Visit https://t.co/6qeyTad2vr,2021-09-27T17:59:13.000Z,0,exxonmobil
36,You take premium looks to next level. Do the same for your car with better mileage and a 2X cleaner engine.‡ Visit https://t.co/6qeyTad2vr,2021-09-27T17:56:37.000Z,0,exxonmobil
37,"Pizza that does double duty? That’s music to our ears. Fuel that keeps your engine 2X cleaner for better gas mileage?‡ Now, that’s Supremium. Visit https://t.co/6qeyTauDU1",2021-09-27T17:48:10.000Z,0,exxonmobil
38,Everyone loves pizza &amp; a party. Show your car some love too—get a better clean for better gas mileage with Synergy Supreme+™ premium gas!‡ Visit https://t.co/6qeyTad2vr,2021-09-27T17:45:47.000Z,0,exxonmobil
39,"Pizza that does double duty? That’s music to our ears. Fuel that keeps your engine 2X cleaner for better gas mileage?‡ Now, that’s 
Supremium. Visit https://t.co/6qeyTauDU1",2021-09-27T17:43:25.000Z,0,exxonmobil
40,Everyone loves pizza &amp; a party. Show your car some love too—get a better clean for better gas mileage with Synergy Supreme+™ premium gas!‡ Visit https://t.co/6qeyTad2vr,2021-09-27T17:36:24.000Z,0,exxonmobil
41,Give your car the extra care it deserves. Get better mileage and take your family further with a 2X cleaner engine.‡ Visit https://t.co/6qeyTad2vr,2021-09-27T17:31:14.000Z,0,exxonmobil
42,A little care goes a long way. Get better mileage and take your family further with a 2X cleaner engine.‡ Visit https://t.co/6qeyTauDU1,2021-09-27T17:26:29.000Z,0,exxonmobil
43,A little care goes a long way. Get better mileage and take your family further with a 2X cleaner engine.‡ Visit https://t.co/6qeyTad2vr,2021-09-27T17:23:29.000Z,0,exxonmobil
44,A little care goes a long way. Get better mileage and take your family further with a 2X cleaner engine.‡ Visit https://t.co/6qeyTad2vr,2021-09-27T16:51:05.000Z,0,exxonmobil
45,What are ‘blue hydrogen’ and ‘green hydrogen’? Find out the key differences and why we need them both to help reduce CO2 emissions.,2021-09-24T04:05:35.000Z,0,exxonmobil
46,"11 companies, 1 shared interest in carbon capture and storage. See how industry and local leaders in Houston are redefining what it means to be the energy capital of the world and what policies are needed to help reduce industrial CO₂ emissions. https://t.co/KUqmLJHeGL https://t.co/uvc1lRxnif",2021-09-23T21:42:05.000Z,0,exxonmobil
47,It’s no pipe dream: Carbon capture and storage can effectively reduce emissions. We’ve been doing it for decades – and want to continue collaborating with others to help bring this technology to scale. https://t.co/MXtNHZfGuW,2021-09-23T20:47:43.000Z,0,exxonmobil
48,It’s no pipe dream: Carbon capture and storage can effectively reduce emissions. We’ve been doing it for decades – and want to continue collaborating with others to help bring this technology to scale. Learn more. https://t.co/OkUhxZpsBC,2021-09-23T20:42:52.000Z,0,exxonmobil
49,Certified natural gas is in our future. We’ve entered into an agreement with @MiQ_Org for third-party certification of natural gas produced at our NM facility. See what technologies we utilize to efficiently monitor leaks to reduce methane emissions. https://t.co/aLmqcu87UY https://t.co/SSKtcsbr8r,2021-09-23T16:15:25.000Z,0,exxonmobil
50,#Carboncapture &amp; storage: reimagining Houston’s role as energy capital of the world &amp; adding momentum toward the city’s ambitions to be carbon neutral by 2050. Hear from Mayor @SylvesterTurner below 👇 &amp; learn more from 11 companies who support CCS here: https://t.co/ssPu7UfIuF https://t.co/RZDTUAGGvD,2021-09-21T13:35:24.000Z,-0.072920403,exxonmobil
51,Experts agree: Widespread carbon capture and storage will be crucial to addressing climate change. A quick primer on this important technology. https://t.co/b6yqoqSrui https://t.co/m9i7jLF0TT,2021-09-16T13:58:29.000Z,0,exxonmobil
52,Experts agree: Widespread carbon capture and storage will be crucial to addressing climate change. A quick primer on this important technology. https://t.co/b6yqoqSrui https://t.co/EF0J6tPH4D,2021-09-16T13:57:54.000Z,0,exxonmobil
53,Experts agree: Widespread carbon capture and storage will be crucial to addressing climate change. A quick primer on this important technology. https://t.co/b6yqoqSrui https://t.co/Qz3RKexat5,2021-09-16T13:57:22.000Z,0,exxonmobil
54,Experts agree: Widespread carbon capture and storage will be crucial to addressing climate change. Learn what else you should know about this important technology. https://t.co/b6yqoqSrui https://t.co/nOX5bPrEiH,2021-09-16T13:56:45.000Z,0,exxonmobil
55,Experts agree: Widespread carbon capture and storage will be crucial to addressing climate change. Learn what else you should know about this important technology. https://t.co/b6yqora2SS https://t.co/ql8OqezQgB,2021-09-16T13:55:20.000Z,0,exxonmobil
56,Experts agree: Widespread carbon capture and storage will be crucial to addressing climate change. Learn what else you should know about this important technology. https://t.co/b6yqoqSrui https://t.co/oVohEukdjs,2021-09-16T13:52:26.000Z,0,exxonmobil
57,"We look forward to supporting efforts alongside @Calpine, @Chevron, @DowNewsroom,  @INEOS, @Lindeplc, @LyondellBasell, @MarathonPetroCo, @NRGEnergy, @Phillips66Co, @ValeroEnergy to help Houston move toward a lower-carbon future.",2021-09-16T12:46:41.000Z,0,exxonmobil
58,We can help Houston reach its goal of being carbon-neutral by 2050. Excited to announce our interest in advancing #carboncapture &amp; storage in the Houston area. Read more here &gt;&gt; https://t.co/ssPu7TY7D7 https://t.co/CbtOpTEVm2,2021-09-16T12:46:40.000Z,0,exxonmobil
59,Chúng tôi tin R&amp;D nên là trọng tâm của bất kỳ hoạt động đổi mới nào. Tìm hiểu thêm về hoạt động R&amp;D tại ExxonMobil.,2021-09-16T07:56:49.000Z,0,exxonmobil
60,"What's the camelina plant, and why are we investing in it? Learn about the qualities that make this crop attractive for a renewable diesel. https://t.co/5EfwEGKIdn",2021-09-15T16:31:30.000Z,0,exxonmobil
61,Certified natural gas is in our future. We’ve entered into an agreement with @MiQ_Org for third-party certification of natural gas produced at our NM facility. See what technologies we utilize to efficiently monitor leaks to reduce methane emissions. https://t.co/aLmqcu87UY https://t.co/tijsAq6luu,2021-09-14T16:16:19.000Z,0,exxonmobil
62,We believe research and development should be at the heart of any innovative business. Find out more about R&amp;D at ExxonMobil.,2021-09-14T09:06:54.000Z,0,exxonmobil
63,"Welcome to Prince Edward Island, Canada. It’s the perfect place to test how our lubricants might increase wind turbine performance. 

Together with @windenergycan, we’re helping give the wind energy industry a boost. https://t.co/z2Ejq0TkLN",2021-09-09T14:28:40.000Z,0,exxonmobil
64,@EndPlasticWaste An innovative approach for developing technology to help find solutions that mitigate plastic waste!,2021-09-08T18:41:02.000Z,0,exxonmobil
65,"@plasticmakers continue to demonstrate how plastics are helping to make electric vehicles more efficient, safe and sustainable. https://t.co/j5C4EWHzVG",2021-09-08T18:38:31.000Z,0.699690088,exxonmobil
66,"100 million metric tons – what’s that look like? It’s the amount of CO2 we plan to capture and store near Houston annually, and it’s more light-duty trucks than you could imagine. See for yourself: https://t.co/v1fStjigVD https://t.co/6Zg42noIrc",2021-09-08T15:09:43.000Z,0,exxonmobil
