id,sentence,created_at,ave_sentiment,user_username
27,#CaseforCoal: Discover more on how advanced coal technologies are part of the solution to meet global environmental goals. https://t.co/UmUoL54Eqi #CCS https://t.co/3LRRep1Qnk,2020-02-03T20:40:55.000Z,0.381999919,peabodyenergy
28,"A shout out to our very own Conal Hearps, a production operator at Moorvale Mine, who is a nominee for the QRC/WIMARQ Resources #Awards. The winners will be announced March 5. Good luck, Conal! https://t.co/j7khLaYLYL #PeabodyPeople #Excellence https://t.co/SpnbCV065a",2020-01-31T22:24:12.000Z,0.394782597,peabodyenergy
29,@tribstar @WTHITV @wtwonews @PlattsCoal @NationalMining @AmericasPower @AmericanCoal https://t.co/0ep9D4i7He,2020-01-30T17:49:40.000Z,0,peabodyenergy
30,"#TBT: Bear Run, the largest surface mine in the Eastern United States, has served power customers since 2010. Pictured here: Construction at the mine site in Sullivan County, Ind. during late 2009 and early 2010. https://t.co/ZoTMfEt8Yk",2020-01-30T17:49:02.000Z,-0.001224412,peabodyenergy
31,#CaseforCoal Discover more on how coal provides affordable and reliable energy around the world: https://t.co/UmUoL4N3yK #Electricity #Energy #coal https://t.co/esWLuHFQcA,2020-01-29T17:39:43.000Z,0.373353174,peabodyenergy
32,"One of the oldest continually operating coal mining operations in Australia, Metropolitan won our President’s Safety Award for best safety performance for an Australian underground mine in 2019. Congratulations to the Metrop team! https://t.co/pFATMnjbzp  #Safety #CoalDoneRight https://t.co/YkMtRdyvWv",2020-01-28T19:28:10.000Z,0.432358599,peabodyenergy
33,"With just one reportable injury in 2019, the Somerville Complex earned the Peabody President’s Safety Award for best U.S. surface mine. Congratulations to the Somerville Complex team! https://t.co/pFATMnjbzp #Safety #CoalDoneRight https://t.co/jGZjyrypdG",2020-01-27T20:45:25.000Z,0.330563871,peabodyenergy
34,"As #AustraliaDay approaches, we recognize our team members in #Queensland and #NewSouthWales who help provide the world with affordable, reliable energy and a key ingredient in steelmaking. #PeabodyPeople https://t.co/jrfM7O4VMz",2020-01-24T22:02:10.000Z,0.220536505,peabodyenergy
35,"Recording a 0.55 incidence rate per 200,000 hours over more than 1.4 million hours worked in 2019, the Wilpinjong team took home our President’s Safety Award for the Australian surface mine with the best safety record. Congrats! https://t.co/pFATMnjbzp #Safety #CoalDoneRight https://t.co/A1uAemEjUP",2020-01-23T19:52:47.000Z,0.60522178,peabodyenergy
36,RT @NationalMining: “The era of an adversarial approach to mining that has made new mines and projects so difficult to pursue must come to…,2020-01-23T16:32:40.000Z,-0.061237244,peabodyenergy
37,"Championships Won
Twentymile: 7
Michael Jordan: 6
Tom Brady: 6

Peabody’s Twentymile Mine recently won the company’s President’s Safety Award for a record seventh time. Congratulations to the Peabody greatest of all time🐐! https://t.co/pFATMnjbzp #Safety #CoalDoneRight https://t.co/nemVpbqkB4",2020-01-22T20:13:56.000Z,0.401641317,peabodyenergy
38,"RT @WorldCoal: With rapid population growth (over seven billion people are expected to live in urban areas by 2050), the need for modern #i…",2020-01-22T19:55:08.000Z,0.43788027,peabodyenergy
39,"Congratulations to our 2019 President’s Safety Awards winners – Twentymile, Metropolitan, Wilpinjong and the Somerville Complex – for demonstrating Peabody’s core safety value by achieving the company’s best safety records in 2019. https://t.co/pFATMnjbzp #Safety #CoalDoneRight https://t.co/nXH1mULUx1",2020-01-21T22:35:36.000Z,0.587578323,peabodyenergy
40,"Peabody today joins in honoring Martin Luther King Jr., a true champion for inclusion and diversity for all. #MLKDay https://t.co/sq8tcQ6Vu5",2020-01-20T16:45:04.000Z,0.257239003,peabodyenergy
41,#TBT: A beautiful snowy day in January 2008 at our Twentymile Mine in Colorado https://t.co/tEtRinICo1,2020-01-09T17:00:12.000Z,0.181901719,peabodyenergy
42,#CaseforCoal https://t.co/SXligOJtiE,2020-01-08T18:24:00.000Z,0,peabodyenergy
