sentence,created_at,ave_sentiment,user_username
"RT @GretaThunberg: Today is #WomensDay. Today we honour sisterhood.
Nowhere in the world today women and men are equal
The more I read abou…",2019-03-08T15:00:51.000Z,0.122061547,Fridays4future
"RT @AMagnussonn_: Climate strikes are now growing on soooo many places. We will do so great on 15th of march!
WE ARE THE FUTURE
#FridaysFor…",2019-03-08T14:58:05.000Z,0.143995721,Fridays4future
RT @AMagnussonn_: Today is the international women's day. And I just want to say that it is women who runs this extremely important movemen…,2019-03-08T14:58:00.000Z,0.184169136,Fridays4future
RT @GretaThunberg: School strike in Hamburg today!! #climatestrike #fridaysforfuture #schoolstrike4climate https://t.co/DmAufZkwY8,2019-03-01T16:45:49.000Z,-0.154687535,Fridays4future
RT @GretaThunberg: Now I’m on the train through Denmark back home to Stockholm. https://t.co/0yyLo5zFO9,2019-03-01T16:45:45.000Z,0,Fridays4future
"RT @AlexandriaV2005: Tonight @havenruthie, @israhirsi and I had our @climatestrikeUS partners call with @emilyrsouthard @Ryschlee @luckytra…",2019-03-01T16:45:27.000Z,0,Fridays4future
"RT @AlexandriaV2005: Hey All! Over the next few days, I'm introducing each of our @climatestrikeUS state leads! From TEXAS, meet Gaffney @v…",2019-03-01T16:44:48.000Z,0.054166051,Fridays4future
"RT @AlexandriaV2005: Today, please meet Kawika @KawikaPegram! He's 17 yrs old and is our HAWAII state lead! @climatestrikeHI On 3/15 Hawaii…",2019-03-01T16:44:34.000Z,0.16285575,Fridays4future
RT @AlexandriaV2005: Hey everyone! Meet Claire @TheClaireNelson &amp; Aditi @aditinnnn! They're the co-leads of ARIZONA! @climatestrikeaz! On M…,2019-03-01T16:44:10.000Z,0.071981269,Fridays4future
"RT @AlexandriaV2005: Thank you @TeenVogue and @SatansJacuzzi for talking with me this week! And yes, it usually decides to rain on Fridays…",2019-03-01T16:44:02.000Z,0.202670858,Fridays4future
"RT @AlexandriaV2005: What's your sign? The @astrotwins offered to do my astro chart and write about our movement this month.
I am ""triple e…",2019-03-01T16:44:00.000Z,0,Fridays4future
"RT @AlexandriaV2005: WEEK 12 of my @UN #ClimateStrike in NYC. This past week I was astroturfed on social media, ambushed by a camera crew a…",2019-03-01T16:43:54.000Z,0,Fridays4future
"RT @AMagnussonn_: Tomorrow I willl be speaking at a bigger Climate Strike here in Sweden.

Look forward to strike another Friday 💚♻️

Toget…",2019-02-28T15:19:47.000Z,-0.125171919,Fridays4future
RT @SMHIvader: Igår uppmättes den högsta februaritemperaturen någonsin i Sverige på 16.7 grader i Karlshamn! 🌡️Även flera andra värmerekord…,2019-02-27T10:40:55.000Z,0,Fridays4future
"47 countries now booked with strikes for March 15!
See the map!

We love to see so many with us 😍🙏💚

https://t.co/lfYvzEodNY",2019-02-27T10:04:47.000Z,0.1057084,Fridays4future
"RT @fischerdata: #WhateveritTakes Ok, let's admire @GretaThunberg - I do!- but only for five minutes then move on for #ClimateAction. #Frid…",2019-02-24T16:54:44.000Z,0.12518903,Fridays4future
RT @HollyWildChild: Sometimes I find it really hard to drag myself out of the house and go for a walk. Especially when it is grey and drizz…,2019-02-20T19:42:34.000Z,-0.164725883,Fridays4future
